ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,evolutionary_group
GO:0008154,actin polymerization or depolymerization,5/62,187/18860,0.026737967914438502,8.133517336553389,5.630109325672184,3.7192189193200584e-4,0.018909894018410547,0.013372465099016243,BIN1/GSN/PFN1/LIMA1/SLIT2,5,Unicellular
GO:0001953,negative regulation of cell-matrix adhesion,3/62,43/18860,0.06976744186046512,21.222805701425358,7.624296847001652,3.801427970040456e-4,0.018909894018410547,0.013372465099016243,POSTN/PTEN/CDKN2A,3,Unicellular
GO:0060251,regulation of glial cell proliferation,3/62,44/18860,0.06818181818181818,20.74046920821114,7.528691637796927,4.07005270348627e-4,0.01942077671992789,0.013733744812645542,SOX11/DICER1/CERS2,3,Unicellular
GO:0051495,positive regulation of cytoskeleton organization,5/62,191/18860,0.02617801047120419,7.963181894950177,5.554733764633928,4.097775990773843e-4,0.01942077671992789,0.013733744812645542,BIN1/GSN/PFN1/LIMA1/DRG1,5,Unicellular
GO:0050678,regulation of epithelial cell proliferation,7/62,416/18860,0.016826923076923076,5.118641439205955,4.878344270068119,4.176511122565137e-4,0.01942077671992789,0.013733744812645542,SOX11/MAGED1/GATA3/KDM5B/NME1/NME2/CDKN2A,7,Unicellular
GO:0006979,response to oxidative stress,7/62,418/18860,0.01674641148325359,5.094150331841333,4.861242316887759,4.2981269424561224e-4,0.019561050063646054,0.013832941581880061,TXNIP/IDH1/FOXO4/DAPK1/CDKN2A/KLF4/MSRA,7,Unicellular
GO:0072528,pyrimidine-containing compound biosynthetic process,3/62,46/18860,0.06521739130434782,19.838709677419356,7.3466415660417885,4.643248121611441e-4,0.02015098906410522,0.01425012735174784,NME3/NME1/NME2,3,Unicellular
GO:0006475,internal protein amino acid acetylation,2/62,10/18860,0.2,60.83870967741935,10.869908672500479,4.704377898446945e-4,0.02015098906410522,0.01425012735174784,EP300/NAA10,2,Unicellular
GO:0014013,regulation of gliogenesis,4/62,110/18860,0.03636363636363636,11.061583577712609,6.078009827926481,4.7103761253167875e-4,0.02015098906410522,0.01425012735174784,SOX11/BIN1/DICER1/CERS2,4,Unicellular
GO:0014014,negative regulation of gliogenesis,3/62,47/18860,0.06382978723404255,19.416609471516814,7.2598714788625784,4.94825287046004e-4,0.02075355468610593,0.014676242259754543,SOX11/DICER1/CERS2,3,Unicellular
GO:0032271,regulation of protein polymerization,5/62,202/18860,0.024752475247524754,7.529543276908336,5.3582786825501145,5.289546408404575e-4,0.02175834570687959,0.015386797953193065,BIN1/GSN/PFN1/DRG1/SLIT2,5,Unicellular
GO:0043254,regulation of protein-containing complex assembly,7/62,438/18860,0.01598173515981735,4.861540727647665,4.696005948210696,5.67755233388721e-4,0.02208462408047194,0.015617531460169864,BIN1/GSN/PFN1/SYK/EP300/DRG1/SLIT2,7,Unicellular
GO:0010624,regulation of Schwann cell proliferation,2/62,11/18860,0.18181818181818182,55.30791788856305,10.347005749911624,5.737621330533209e-4,0.02208462408047194,0.015617531460169864,DICER1/CERS2,2,Unicellular
GO:0014010,Schwann cell proliferation,2/62,11/18860,0.18181818181818182,55.30791788856305,10.347005749911624,5.737621330533209e-4,0.02208462408047194,0.015617531460169864,DICER1/CERS2,2,Unicellular
GO:1902806,regulation of cell cycle G1/S phase transition,5/62,206/18860,0.024271844660194174,7.383338553084873,5.290477297199944,5.781855766743472e-4,0.02208462408047194,0.015617531460169864,SENP2/RRM1/PTEN/CDKN2A/KLF4,5,Unicellular
GO:0007623,circadian rhythm,5/62,212/18860,0.02358490566037736,7.174376141205113,5.192114193640974,6.583939636041243e-4,0.023703470610794482,0.016762327338260215,MAGED1/EP300/NOS2/PTEN/KLF10,5,Unicellular
GO:0002347,response to tumor cell,3/62,52/18860,0.057692307692307696,17.549627791563275,6.863062388915475,6.665812537091487e-4,0.023703470610794482,0.016762327338260215,TXNIP/DAPK1/KLF4,3,Unicellular
GO:0002357,defense response to tumor cell,2/62,12/18860,0.16666666666666666,50.69892473118279,9.89018308936431,6.870571191534633e-4,0.023703470610794482,0.016762327338260215,DAPK1/KLF4,2,Unicellular
GO:0006474,N-terminal protein amino acid acetylation,2/62,12/18860,0.16666666666666666,50.69892473118279,9.89018308936431,6.870571191534633e-4,0.023703470610794482,0.016762327338260215,EP300/NAA10,2,Unicellular
GO:0034214,protein hexamerization,2/62,12/18860,0.16666666666666666,50.69892473118279,9.89018308936431,6.870571191534633e-4,0.023703470610794482,0.016762327338260215,NME3/NME1,2,Unicellular
GO:0098911,regulation of ventricular cardiac muscle cell action potential,2/62,12/18860,0.16666666666666666,50.69892473118279,9.89018308936431,6.870571191534633e-4,0.023703470610794482,0.016762327338260215,BIN1/JUP,2,Unicellular
GO:0031400,negative regulation of protein modification process,5/62,217/18860,0.02304147465437788,7.009067935186562,5.1130310895573645,7.313805513775582e-4,0.0245048012551928,0.017329002437790435,SENP2/IVNS1ABP/PTEN/SLIT2/CDKN2A,5,Unicellular
GO:0046634,regulation of alpha-beta T cell activation,4/62,124/18860,0.03225806451612903,9.812695109261186,5.6543215365867665,7.396507916635595e-4,0.0245048012551928,0.017329002437790435,GATA3/SYK/TYK2/EP300,4,Unicellular
GO:0006220,pyrimidine nucleotide metabolic process,3/62,54/18860,0.05555555555555555,16.899641577060933,6.719475125775011,7.446526795640636e-4,0.0245048012551928,0.017329002437790435,NME3/NME1/NME2,3,Unicellular
