Root,Dscore,Statistic,Pvalue,AdjPvalue
31,0.849,7.872,1.74e-15,1.2e-12
31,0.849,7.678,8.11e-15,5.58e-12
31,0.8335,7.611,1.36e-14,9.36e-12
32,0.9341,8.679,1.99e-18,1.37e-15
32,0.947,8.585,4.55e-18,3.13e-15
32,0.9738,8.573,5.03e-18,3.46e-15
32,0.9738,8.43,1.72e-17,1.18e-14
32,0.9738,8.426,1.78e-17,1.23e-14
32,0.9054,8.368,2.94e-17,2.02e-14
32,0.9163,8.35,3.42e-17,2.35e-14
32,0.9084,8.179,1.43e-16,9.83e-14
32,0.8959,8.177,1.46e-16,1e-13
32,0.9217,8.134,2.08e-16,1.43e-13
32,0.947,8.133,2.1e-16,1.44e-13
32,0.9313,8.119,2.36e-16,1.62e-13
32,0.8906,8.078,3.28e-16,2.26e-13
32,0.8959,8.029,4.93e-16,3.39e-13
32,0.8906,8.006,5.92e-16,4.07e-13
32,0.8991,7.965,8.26e-16,5.69e-13
32,0.8959,7.934,1.07e-15,7.33e-13
32,0.8595,7.704,6.61e-15,4.55e-12
32,0.8595,7.571,1.86e-14,1.28e-11
33,0.935,8.744,1.12e-18,7.71e-16
33,0.8286,8.299,5.25e-17,3.61e-14
33,0.9601,8.189,1.31e-16,9.04e-14
33,0.9281,8.184,1.37e-16,9.43e-14
33,0.8886,8.118,2.38e-16,1.63e-13
33,0.8786,8.007,5.87e-16,4.04e-13
33,0.8786,7.968,8.03e-16,5.53e-13
33,0.8688,7.895,1.45e-15,1e-12
33,0.8647,7.883,1.6e-15,1.1e-12
33,0.7443,7.615,1.32e-14,9.1e-12
33,0.8279,7.563,1.97e-14,1.36e-11
33,0.739,7.213,2.73e-13,1.88e-10
34,0.9692,8.825,5.45e-19,3.75e-16
34,0.9317,8.458,1.37e-17,9.4e-15
34,0.9692,8.405,2.15e-17,1.48e-14
34,0.8866,8.347,3.5e-17,2.41e-14
34,0.8866,8.288,5.76e-17,3.96e-14
34,0.8866,8.271,6.62e-17,4.56e-14
34,0.9262,8.267,6.88e-17,4.73e-14
34,0.8866,8.224,9.82e-17,6.76e-14
34,0.8174,8.212,1.09e-16,7.51e-14
34,0.9146,8.201,1.19e-16,8.19e-14
34,0.9375,8.174,1.5e-16,1.03e-13
34,0.9692,8.16,1.67e-16,1.15e-13
34,0.8866,8.157,1.72e-16,1.18e-13
34,0.8866,8.137,2.02e-16,1.39e-13
34,0.8866,8.13,2.15e-16,1.48e-13
34,0.9443,8.033,4.75e-16,3.27e-13
34,0.8866,8.021,5.23e-16,3.6e-13
34,0.8866,8.016,5.46e-16,3.76e-13
34,0.9375,8.016,5.47e-16,3.77e-13
34,0.8174,7.958,8.72e-16,6e-13
34,0.8174,7.863,1.87e-15,1.29e-12
34,0.8866,7.802,3.04e-15,2.09e-12
34,0.7072,7.798,3.14e-15,2.16e-12
34,0.8684,7.733,5.24e-15,3.6e-12
34,0.8174,7.697,6.98e-15,4.8e-12
35,0.9343,8.229,9.47e-17,6.52e-14
35,0.9374,8.04,4.48e-16,3.08e-13
35,0.8598,7.911,1.27e-15,8.76e-13
36,0.9985,8.983,1.32e-19,9.1e-17
36,0.9792,8.772,8.8e-19,6.05e-16
36,0.8983,8.725,1.33e-18,9.17e-16
36,0.9812,8.69,1.81e-18,1.24e-15
36,1,8.682,1.95e-18,1.34e-15
36,0.9509,8.662,2.31e-18,1.59e-15
36,0.9792,8.636,2.91e-18,2e-15
36,0.9792,8.621,3.33e-18,2.29e-15
36,0.9792,8.59,4.33e-18,2.98e-15
36,0.9259,8.587,4.48e-18,3.08e-15
36,0.9792,8.555,5.9e-18,4.06e-15
36,0.9259,8.542,6.62e-18,4.55e-15
36,0.9974,8.536,6.94e-18,4.78e-15
36,0.9462,8.507,8.92e-18,6.13e-15
